k,p,Overall Precision,Overall Recall,Overall Specificity,Overall F1 Score,Overall FPR,Overall Accuracy
1,2,0.60,0.60,0.95,0.60,0.05,91.11%
2,2,0.60,0.60,0.95,0.60,0.05,91.11%
3,2,0.60,0.60,0.95,0.60,0.05,91.11%
4,2,0.60,0.60,0.95,0.60,0.05,91.11%
5,2,0.60,0.60,0.95,0.60,0.05,91.11%
6,2,0.60,0.60,0.95,0.60,0.05,91.11%
7,2,0.60,0.60,0.95,0.60,0.05,91.11%
8,2,0.55,0.55,0.94,0.55,0.06,90.00%
9,2,0.60,0.60,0.95,0.60,0.05,91.11%
10,2,0.60,0.60,0.95,0.60,0.05,91.11%
11,2,0.60,0.60,0.95,0.60,0.05,91.11%
12,2,0.60,0.60,0.95,0.60,0.05,91.11%
13,2,0.60,0.60,0.95,0.60,0.05,91.11%
14,2,0.60,0.60,0.95,0.60,0.05,91.11%
15,2,0.65,0.65,0.96,0.65,0.04,92.22%
