k,p,Overall Precision,Overall Recall,Overall Specificity,Overall F1 Score,Overall FPR,Overall Accuracy
1,1,0.90,0.90,0.99,0.90,0.01,97.78%
2,1,0.90,0.90,0.99,0.90,0.01,97.78%
3,1,0.90,0.90,0.99,0.90,0.01,97.78%
4,1,0.90,0.90,0.99,0.90,0.01,97.78%
5,1,0.85,0.85,0.98,0.85,0.02,96.67%
6,1,0.80,0.80,0.97,0.80,0.03,95.56%
7,1,0.80,0.80,0.97,0.80,0.03,95.56%
8,1,0.80,0.80,0.97,0.80,0.03,95.56%
9,1,0.80,0.80,0.97,0.80,0.03,95.56%
10,1,0.80,0.80,0.97,0.80,0.03,95.56%
11,1,0.80,0.80,0.97,0.80,0.03,95.56%
12,1,0.80,0.80,0.97,0.80,0.03,95.56%
13,1,0.75,0.75,0.97,0.75,0.03,94.44%
14,1,0.65,0.65,0.96,0.65,0.04,92.22%
15,1,0.65,0.65,0.96,0.65,0.04,92.22%
