k,p,Overall Precision,Overall Recall,Overall Specificity,Overall F1 Score,Overall FPR,Overall Accuracy
1,2,0.95,0.95,0.99,0.95,0.01,98.89%
2,2,0.95,0.95,0.99,0.95,0.01,98.89%
3,2,0.90,0.90,0.99,0.90,0.01,97.78%
4,2,0.90,0.90,0.99,0.90,0.01,97.78%
5,2,0.90,0.90,0.99,0.90,0.01,97.78%
6,2,0.90,0.90,0.99,0.90,0.01,97.78%
7,2,0.90,0.90,0.99,0.90,0.01,97.78%
8,2,0.90,0.90,0.99,0.90,0.01,97.78%
9,2,0.90,0.90,0.99,0.90,0.01,97.78%
10,2,0.90,0.90,0.99,0.90,0.01,97.78%
11,2,0.85,0.85,0.98,0.85,0.02,96.67%
12,2,0.85,0.85,0.98,0.85,0.02,96.67%
13,2,0.85,0.85,0.98,0.85,0.02,96.67%
14,2,0.80,0.80,0.97,0.80,0.03,95.56%
15,2,0.80,0.80,0.97,0.80,0.03,95.56%
