k,p,Overall Precision,Overall Recall,Overall Specificity,Overall F1 Score,Overall FPR,Overall Accuracy
1,2,0.75,0.75,0.97,0.75,0.03,94.44%
2,2,0.75,0.75,0.97,0.75,0.03,94.44%
3,2,0.75,0.75,0.97,0.75,0.03,94.44%
4,2,0.70,0.70,0.96,0.70,0.04,93.33%
5,2,0.75,0.75,0.97,0.75,0.03,94.44%
6,2,0.65,0.65,0.96,0.65,0.04,92.22%
7,2,0.70,0.70,0.96,0.70,0.04,93.33%
8,2,0.65,0.65,0.96,0.65,0.04,92.22%
9,2,0.60,0.60,0.95,0.60,0.05,91.11%
10,2,0.55,0.55,0.94,0.55,0.06,90.00%
11,2,0.55,0.55,0.94,0.55,0.06,90.00%
12,2,0.55,0.55,0.94,0.55,0.06,90.00%
13,2,0.55,0.55,0.94,0.55,0.06,90.00%
14,2,0.50,0.50,0.94,0.50,0.06,88.89%
15,2,0.50,0.50,0.94,0.50,0.06,88.89%
