k,p,Silhouette Score,WCSS,BCSS
1,2,1.000000,575.541721,0.000000
2,2,0.785251,164.185268,4.155116
3,2,0.706206,71.540240,5.090924
4,2,0.381203,65.857357,5.148327
5,2,0.447215,43.129574,5.377900
6,2,0.461100,40.674910,5.402695
7,2,0.399752,39.954258,5.409974
8,2,0.403245,39.221808,5.417373
9,2,0.404215,39.229412,5.417296
10,2,0.402172,38.666638,5.422981
11,2,0.388687,38.409650,5.425576
12,2,0.396543,38.272510,5.426962
13,2,0.372937,38.213450,5.427558
14,2,0.355515,37.603609,5.433718
15,2,0.342230,37.419646,5.435577
16,2,0.344716,37.369852,5.436079
17,2,0.344731,37.314296,5.436641
18,2,0.344699,37.285007,5.436937
19,2,0.327572,37.269266,5.437096
20,2,0.351930,5.822411,5.754741
