k,p,Silhouette Score,WCSS,BCSS
1,1,1.000000,46182266550081.937500,0.000000
2,1,0.458712,20608899274204.769531,258316841170.476288
3,1,0.510321,10351294207116.216797,361929013565.310303
4,1,0.342360,9124075733522.212891,374325159763.229492
5,1,0.369820,6254792564606.766602,403307818035.102844
6,1,0.402719,4619387543825.673828,419827060669.255188
7,1,0.377296,4322374899452.194824,422827188390.199524
8,1,0.421220,3477375973664.888672,431362531074.919678
9,1,0.389081,3656220345655.696289,429556022266.931763
10,1,0.420052,3220775591804.354004,433954454124.016113
11,1,0.443004,2559301825637.640625,440636007317.619141
12,1,0.481726,2239116342122.887207,443870204120.798462
13,1,0.475807,2175640963681.712158,444511369559.598145
14,1,0.447576,2076376697695.293945,445514038912.996277
15,1,0.386202,2068387778777.842773,445594735063.677612
16,1,0.397833,2011707378652.493896,446167264357.873108
17,1,0.401262,1907170524016.709961,447223192182.476929
18,1,0.375399,1890808369241.985107,447388466473.130737
19,1,0.346632,1855384265139.520508,447746285706.488953
20,1,0.329825,1825520019206.101318,448047944756.321472
