k,p,Silhouette Score,WCSS,BCSS
1,3,1.000000,22.854739,0.000000
2,3,0.176146,18.775217,0.041207
3,3,0.341163,10.008446,0.129761
4,3,0.376534,7.418828,0.155918
5,3,0.319523,6.809713,0.162071
6,3,0.330666,6.114830,0.169090
7,3,0.373101,4.859549,0.181770
8,3,0.340858,4.818502,0.182184
9,3,0.327852,4.687571,0.183507
10,3,0.314276,4.628756,0.184101
11,3,0.294780,4.535897,0.185039
12,3,0.280635,4.412915,0.186281
13,3,0.250880,4.333563,0.187083
14,3,0.247958,4.301935,0.187402
15,3,0.266316,3.156409,0.198973
16,3,0.231279,2.990540,0.200648
17,3,0.244846,2.907900,0.201483
18,3,0.231598,2.805946,0.202513
19,3,0.225802,2.766585,0.202911
20,3,0.229163,2.735846,0.203221
