k,p,Silhouette Score,WCSS,BCSS
1,1,1.000000,0.265168,0.000000
2,1,0.534270,0.204624,0.000612
3,1,0.160578,0.186537,0.000794
4,1,0.137624,0.166096,0.001001
5,1,0.191750,0.146505,0.001199
6,1,0.216070,0.142465,0.001239
7,1,0.171150,0.140374,0.001261
8,1,0.193625,0.124996,0.001416
9,1,0.204564,0.126821,0.001397
10,1,0.122104,0.122101,0.001445
11,1,0.124502,0.120055,0.001466
12,1,0.226304,0.101668,0.001652
13,1,0.214011,0.099846,0.001670
14,1,0.231448,0.096388,0.001705
15,1,0.202895,0.094164,0.001727
16,1,0.163057,0.092212,0.001747
17,1,0.123715,0.092594,0.001743
18,1,0.127676,0.089120,0.001778
19,1,0.130949,0.084446,0.001825
20,1,0.128899,0.083710,0.001833
