k,p,Overall Precision,Overall Recall,Overall Specificity,Overall F1 Score,Overall FPR,Overall Accuracy
1,3,0.60%,0.60,0.95,0.60,0.05,91.11%
2,3,0.60%,0.60,0.95,0.60,0.05,91.11%
3,3,0.60%,0.60,0.95,0.60,0.05,91.11%
4,3,0.60%,0.60,0.95,0.60,0.05,91.11%
5,3,0.60%,0.60,0.95,0.60,0.05,91.11%
6,3,0.55%,0.55,0.94,0.55,0.06,90.00%
7,3,0.55%,0.55,0.94,0.55,0.06,90.00%
8,3,0.55%,0.55,0.94,0.55,0.06,90.00%
9,3,0.50%,0.50,0.94,0.50,0.06,88.89%
10,3,0.50%,0.50,0.94,0.50,0.06,88.89%
11,3,0.45%,0.45,0.93,0.45,0.07,87.78%
12,3,0.45%,0.45,0.93,0.45,0.07,87.78%
13,3,0.45%,0.45,0.93,0.45,0.07,87.78%
14,3,0.45%,0.45,0.93,0.45,0.07,87.78%
15,3,0.40%,0.40,0.93,0.40,0.07,86.67%
