k,p,Overall Precision,Overall Recall,Overall Specificity,Overall F1 Score,Overall FPR,Overall Accuracy
1,3,0.85%,0.85,0.98,0.85,0.02,96.67%
2,3,0.85%,0.85,0.98,0.85,0.02,96.67%
3,3,0.75%,0.75,0.97,0.75,0.03,94.44%
4,3,0.75%,0.75,0.97,0.75,0.03,94.44%
5,3,0.75%,0.75,0.97,0.75,0.03,94.44%
6,3,0.75%,0.75,0.97,0.75,0.03,94.44%
7,3,0.70%,0.70,0.96,0.70,0.04,93.33%
8,3,0.75%,0.75,0.97,0.75,0.03,94.44%
9,3,0.75%,0.75,0.97,0.75,0.03,94.44%
10,3,0.75%,0.75,0.97,0.75,0.03,94.44%
11,3,0.70%,0.70,0.96,0.70,0.04,93.33%
12,3,0.70%,0.70,0.96,0.70,0.04,93.33%
13,3,0.70%,0.70,0.96,0.70,0.04,93.33%
14,3,0.70%,0.70,0.96,0.70,0.04,93.33%
15,3,0.60%,0.60,0.95,0.60,0.05,91.11%
