k,p,Overall Precision,Overall Recall,Overall Specificity,Overall F1 Score,Overall FPR,Overall Accuracy
1,1,0.95%,0.95,0.99,0.95,0.01,98.89%
2,1,0.95%,0.95,0.99,0.95,0.01,98.89%
3,1,0.95%,0.95,0.99,0.95,0.01,98.89%
4,1,0.95%,0.95,0.99,0.95,0.01,98.89%
5,1,0.95%,0.95,0.99,0.95,0.01,98.89%
6,1,0.95%,0.95,0.99,0.95,0.01,98.89%
7,1,0.90%,0.90,0.99,0.90,0.01,97.78%
8,1,0.85%,0.85,0.98,0.85,0.02,96.67%
9,1,0.85%,0.85,0.98,0.85,0.02,96.67%
10,1,0.85%,0.85,0.98,0.85,0.02,96.67%
11,1,0.80%,0.80,0.97,0.80,0.03,95.56%
12,1,0.80%,0.80,0.97,0.80,0.03,95.56%
13,1,0.80%,0.80,0.97,0.80,0.03,95.56%
14,1,0.80%,0.80,0.97,0.80,0.03,95.56%
15,1,0.80%,0.80,0.97,0.80,0.03,95.56%
