k,p,Overall Precision,Overall Recall,Overall Specificity,Overall F1 Score,Overall FPR,Overall Accuracy
1,1,0.70%,0.70,0.96,0.70,0.04,93.33%
2,1,0.70%,0.70,0.96,0.70,0.04,93.33%
3,1,0.60%,0.60,0.95,0.60,0.05,91.11%
4,1,0.55%,0.55,0.94,0.55,0.06,90.00%
5,1,0.55%,0.55,0.94,0.55,0.06,90.00%
6,1,0.55%,0.55,0.94,0.55,0.06,90.00%
7,1,0.55%,0.55,0.94,0.55,0.06,90.00%
8,1,0.50%,0.50,0.94,0.50,0.06,88.89%
9,1,0.50%,0.50,0.94,0.50,0.06,88.89%
10,1,0.50%,0.50,0.94,0.50,0.06,88.89%
11,1,0.55%,0.55,0.94,0.55,0.06,90.00%
12,1,0.55%,0.55,0.94,0.55,0.06,90.00%
13,1,0.55%,0.55,0.94,0.55,0.06,90.00%
14,1,0.55%,0.55,0.94,0.55,0.06,90.00%
15,1,0.55%,0.55,0.94,0.55,0.06,90.00%
